sample	microbial objects
37	"{""Propionibacterium_acnes-12"", ""Corynebacterium-11"", ""Comamonas_nitrativorans-11"", ""Sediminibacterium-13"", ""Delftia-14"", ""Moraxella-9"", ""Bradyrhizobium-10""}"
38	"{""Propionibacterium_acnes-14"", ""Dietzia-11"", ""Bacillus-10"", ""Streptococcus-11"", ""Microbacterium-10"", ""Micrococcus-10"", ""Kocuria-12"", ""Derxia-12"", ""Leptotrichia-12"", ""Legionella-10"", ""Proteiniphilum-10"", ""Leuconostoc-12""}"
39	"{""Propionibacterium_acnes-11"", ""Acinetobacter_junii-13"", ""Sphingobium-10"", ""Acidovorax-14"", ""Variovorax-9"", ""Zoogloea-10"", ""Comamonas_testosteroni-12"", ""Cloacibacterium-12"", ""Comamonas_denitrificans-9"", ""Staphylococcus-9"", ""Novosphingobium-9"", ""Methylobacterium-11"", ""Acinetobacter_tjernbergiae-14"", ""Cylindrospermum-9"", ""Achromobacter-9"", ""Epilithonimonas-9"", ""Pseudorhodoferax-10""}"
40	"{""Comamonas_jiangduensis-12"", ""Lactobacillus-10"", ""Lachnoclostridium-13"", ""Acinetobacter_junii-13"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Acinetobacter_tjernbergiae-10"", ""Moraxella-11"", ""Bacteroides-14""}"
41	"{""Propionibacterium_acnes-14"", ""Anaerococcus-11"", ""Acinetobacter_junii-10"", ""Cloacibacterium-8"", ""Corynebacterium-11"", ""Acinetobacter_seohaensis-8"", ""Peptoniphilus-12"", ""Sediminibacterium-11"", ""Acinetobacter_tjernbergiae-10"", ""Moraxella-13"", ""Meiothermus-11""}"
42	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-11"", ""Acidovorax-13"", ""Cloacibacterium-13"", ""Vulcaniibacterium-10"", ""Novosphingobium-11"", ""Blastomonas-10"", ""Sediminibacterium-12"", ""Acinetobacter_tjernbergiae-12""}"
43	"{""Comamonas_jiangduensis-14"", ""Cupriavidus-9"", ""Acinetobacter_junii-12"", ""Pseudomonas-12"", ""Streptococcus-11"", ""Kocuria-12"", ""Reyranella-9"", ""Candidatus_Solibacter-10"", ""Bradyrhizobium-10""}"
44	"{""Propionibacterium_acnes-14"", ""Lactobacillus-10"", ""Prevotella-12"", ""Zoogloea-10"", ""Flavobacterium-9"", ""Acinetobacter_tjernbergiae-8"", ""Brachybacterium-13"", ""Cylindrospermum-9""}"
45	"{""Propionibacterium_acnes-9"", ""Eubacterium-11"", ""Lachnoclostridium-9"", ""Acinetobacter_junii-13"", ""Sphingobium-11"", ""Acidovorax-13"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-10"", ""Pseudomonas-10"", ""Bosea-10"", ""Stenotrophomonas-11"", ""Streptococcus-11"", ""Nitrosospira-12"", ""Flavonifractor-11"", ""Sediminibacterium-13"", ""Acinetobacter_tjernbergiae-14"", ""Alistipes-9"", ""Bacteroides-11"", ""Anaerobacterium-10""}"
46	"{""Propionibacterium_acnes-14"", ""Corynebacterium-11"", ""Nitrosospira-12"", ""Aquabacterium-9"", ""Ralstonia-11"", ""Sediminibacterium-11"", ""Cylindrospermum-11"", ""Meiothermus-12"", ""Ruminiclostridium-9""}"
47	"{""Propionibacterium_acnes-13"", ""Lactobacillus-13"", ""Anaerococcus-12"", ""Prevotella-11"", ""Acinetobacter_junii-11"", ""Sphingobium-12"", ""Ottowia-11"", ""Enterococcus-13"", ""Rothia-11"", ""Nitrosospira-10"", ""Cutibacterium-12"", ""Granulicatella-11"", ""Sediminibacterium-12"", ""Acinetobacter_tjernbergiae-12""}"
48	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-13"", ""Brevundimonas-9"", ""Acidovorax-9"", ""Comamonas_testosteroni-9"", ""Corynebacterium-10"", ""Streptococcus-9"", ""Ramlibacter-11"", ""Kocuria-10"", ""Acinetobacter_tjernbergiae-13"", ""Delftia-8"", ""Leptotrichia-8"", ""Achromobacter-11"", ""Finegoldia-9"", ""Limnobacter-8""}"
49	"{""Comamonas_jiangduensis-13"", ""Lactobacillus-8"", ""Lachnoclostridium-9"", ""Anaerococcus-8"", ""Acinetobacter_junii-14"", ""Acidovorax-8"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Streptococcus-9"", ""Blautia-8"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-9"", ""Moraxella-11"", ""Finegoldia-9"", ""Ruminiclostridium-8"", ""Bacteroides-11""}"
50	"{""Comamonas_jiangduensis-14"", ""Lactobacillus-10"", ""Sphingomonas-8"", ""Cupriavidus-9"", ""Acinetobacter_junii-13"", ""Cloacibacterium-11"", ""Pseudomonas-13"", ""Stenotrophomonas-10"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-8"", ""Delftia-10"", ""Moraxella-9"", ""Skermanella-9"", ""Clostridium-11""}"
51	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-12"", ""Acidovorax-9"", ""Pseudomonas-9"", ""Corynebacterium-10"", ""Blautia-12"", ""Kocuria-12"", ""Sediminibacterium-11"", ""Acinetobacter_tjernbergiae-12"", ""Kytococcus-11"", ""Bradyrhizobium-11"", ""Parabacteroides-9""}"
