sample,Top classes,component 1,component 2,component 3,component 4,component 5
74,2:5:1,0.181057038,0.490450026,0.090397698,0.023678702,0.214416536
75,5:4:3,0.091880342,0.126831502,0.159035409,0.201465201,0.420787546
76,5:2:1,0.049908425,0.063492063,0.003815629,0.005952381,0.876831502
77,5:4:3,0.036324786,0.008699634,0.062881563,0.121336996,0.770757021
78,3:5:4,0.065567766,0.091208791,0.43021978,0.12032967,0.292673993
79,3:4:2,0.007051282,0.01510989,0.718223443,0.245970696,0.013644689
80,3:4:2,0.009500916,0.022893773,0.806089744,0.156021062,0.005494505
81,4:2:3,0.01037851,0.055250305,0.047110297,0.842694343,0.044566545
82,3:4:1,0.042374292,0.015234765,0.841824842,0.088911089,0.011655012
83,4:3:2,0.009407259,0.021978022,0.074342324,0.878205128,0.016067266
84,3:5:4,0.014957265,0.006919007,0.87983313,0.020960521,0.077330077
85,1:2:4,0.443910256,0.326923077,0.027930403,0.131639194,0.06959707
86,3:2:5,0.015659341,0.057509158,0.852106227,0.023260073,0.051465201
87,4:3:2,0.008165446,0.015262515,0.098672161,0.866529304,0.011370574
88,3:5:4,0.056662088,0.055059524,0.486836081,0.135645604,0.265796703
89,2:5:1,0.202930403,0.426007326,0.013369963,0.11043956,0.247252747
90,3:4:5,0.058836996,0.02518315,0.63404304,0.157509158,0.124427656
91,5:3:4,0.110805861,0.08992674,0.222527473,0.13003663,0.446703297
92,5:2:4,0.117216117,0.188873626,0.116758242,0.145718864,0.43143315
93,5:3:1,0.188034188,0.034188034,0.245421245,0.000610501,0.531746032
94,1:5:2,0.332417582,0.210279304,0.132326007,0.028846154,0.296130952
95,3:2:4,0.07360348,0.289262821,0.358058608,0.229281136,0.049793956
96,4:2:5,0.104264783,0.297880691,0.090528519,0.333202512,0.174123496
97,4:2:3,0.076770452,0.25030525,0.098748474,0.555250305,0.018925519
98,4:3:1,0.024381868,0.011790293,0.03731685,0.916552198,0.009958791
99,3:5:1,0.047095761,0.043956044,0.548534799,0.039638932,0.320774464
100,3:4:5,0.018589744,0.017216117,0.709981685,0.177197802,0.077014652
101,3:5:4,0.020833333,0.010645604,0.87603022,0.043269231,0.049221612
102,2:5:3,0.117012617,0.385022385,0.159442409,0.125050875,0.213471713
103,4:1:3,0.179698507,0.075373345,0.15581854,0.547478163,0.041631445
104,1:5:2,0.484432234,0.129426129,0.042124542,0.072954823,0.271062271
105,3:1:5,0.179639805,0.035103785,0.596153846,0.079059829,0.110042735
106,2:1:5,0.250228938,0.467032967,0.031822344,0.063415751,0.1875
107,4:5:3,0.01037851,0.028998779,0.047008547,0.814255189,0.099358974
108,4:2:1,0.06990232,0.123626374,0.038461538,0.75534188,0.012667888
109,5:1:2,0.188186813,0.067307692,0.053113553,0.02014652,0.671245421
110,1:2:5,0.45467033,0.446428571,0.006410256,0.018772894,0.073717949
111,5:2:1,0.056227106,0.072161172,0.005677656,0.008241758,0.857692308
112,5:3:4,0.116758242,0.044413919,0.308150183,0.170787546,0.35989011
113,5:4:2,0.076312576,0.123931624,0.046092796,0.161172161,0.592490842
114,1:5:4,0.537728938,0.056043956,0.101465201,0.129487179,0.175274725
115,2:1:4,0.188034188,0.65995116,0.027777778,0.108363858,0.015873016
116,5:1:2,0.343711844,0.048229548,0.028693529,0.001221001,0.578144078
117,3:5:2,0.112637363,0.140682234,0.417582418,0.030906593,0.298191392
118,1:2:5,0.450091575,0.281135531,0.053113553,0.000915751,0.21474359
119,2:1:5,0.411172161,0.453296703,0.000915751,0.001831502,0.132783883
120,2:1:5,0.30982906,0.465811966,0.040598291,0.017094017,0.166666667
121,5:3:2,0.097527473,0.110576923,0.135760073,0.007783883,0.648351648
122,5:4:1,0.115384615,0.042307692,0.047069597,0.123076923,0.672161172
